filename,run_number,run_path,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
evaluation_visualization.ipynb,,,unknown,no-preupsample,1 dataset,Unknown,n/a,,,,,,,
sc1_eval_convnext_mae.ipynb,1,runs TA/sc1_convnext/20260406_180611_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,U10 (m/s),1.845489383,1.424894452,-0.197017893,0.762763262,1.244089406,-0.483405753
sc1_eval_convnext_mae.ipynb,1,runs TA/sc1_convnext/20260406_180611_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,V10 (m/s),1.788086653,1.378614902,0.0349389426,0.720164418,1.171017261,-0.526951576
sc1_eval_convnext_mae.ipynb,1,runs TA/sc1_convnext/20260406_180611_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,T2m (K),1.026095152,0.85631752,0.12967965,0.666960597,0.815497557,-0.258244299
sc1_eval_convnext_mae.ipynb,1,runs TA/sc1_convnext/20260406_180611_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,TP 24hr (mm),0.00951077975,0.00507326331,-0.00194895593,0.557330072,0.00653527562,-0.45529895
sc1_eval_convnext_mae.ipynb,2,runs TA/sc1_convnext/20260406_180855_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,U10 (m/s),1.845396876,1.424739718,-0.195288286,0.762710869,1.244089406,-0.483331396
sc1_eval_convnext_mae.ipynb,2,runs TA/sc1_convnext/20260406_180855_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,V10 (m/s),1.788439751,1.378867269,0.0353974923,0.720126808,1.171017261,-0.527253107
sc1_eval_convnext_mae.ipynb,2,runs TA/sc1_convnext/20260406_180855_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,T2m (K),1.026114464,0.856335878,0.130608678,0.666969657,0.815497557,-0.25826798
sc1_eval_convnext_mae.ipynb,2,runs TA/sc1_convnext/20260406_180855_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,TP 24hr (mm),0.00951033272,0.00507382117,-0.00194259454,0.557287097,0.00653527562,-0.455230547
sc1_eval_convnext_mae.ipynb,3,runs TA/sc1_convnext/20260406_181148_lead1d,scenario1,no-preupsample,2 dataset,ConvNeXt,n/a,U10 (m/s),1.844470739,1.424239278,-0.191072956,0.762694061,1.244089406,-0.482586967
