filename,scenario,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
sc1_convnext_dssim.ipynb,scenario1-convnext-dssim,2 dataset,ConvNeXt,dssim,U10 (m/s),2.1398,1.6495,-0.0857,0.7076,1.1679,-0.8321
sc1_convnext_dssim.ipynb,scenario1-convnext-dssim,2 dataset,ConvNeXt,dssim,V10 (m/s),2.5877,1.9507,0.0745,0.5413,1.0916,-1.3705
sc1_convnext_dssim.ipynb,scenario1-convnext-dssim,2 dataset,ConvNeXt,dssim,T2m (K),2.2248,1.7795,1.3148,0.2386,0.7312,-2.0426
sc1_convnext_dssim.ipynb,scenario1-convnext-dssim,2 dataset,ConvNeXt,dssim,TP 24hr (mm),0.0129,0.007,-0.0067,0.3038,0.006,-1.1412
sc1_convnext_mae.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,mae,U10 (m/s),1.6673,1.2842,-0.0877,0.7898,1.1679,-0.4276
sc1_convnext_mae.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,mae,V10 (m/s),1.6053,1.2359,0.0668,0.7601,1.0916,-0.4706
sc1_convnext_mae.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,mae,T2m (K),0.9434,0.7825,0.1295,0.7003,0.7312,-0.2902
sc1_convnext_mae.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.009,0.0048,-0.0017,0.6108,0.006,-0.5056
sc1_convnext_mae_dssim.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,dssim+mae (alpha=0.5; beta=0.5),U10 (m/s),1.6475,1.2654,-0.0556,0.7875,1.1679,-0.4106
sc1_convnext_mae_dssim.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,dssim+mae (alpha=0.5; beta=0.5),V10 (m/s),1.6101,1.2386,0.1045,0.7574,1.0916,-0.475
sc1_convnext_mae_dssim.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,dssim+mae (alpha=0.5; beta=0.5),T2m (K),0.9425,0.7785,0.0945,0.6967,0.7312,-0.2889
sc1_convnext_mae_dssim.ipynb,scenario1-convnext-mae,2 dataset,ConvNeXt,dssim+mae (alpha=0.5; beta=0.5),TP 24hr (mm),0.0091,0.0048,-0.0017,0.5991,0.006,-0.519
sc1_convnext_mae_retrain.ipynb,scenario1-convnext-mae-nopretrain,2 dataset,ConvNeXt,mae,U10 (m/s),1.6644,1.2835,-0.0052,0.7894,1.1679,-0.4251
sc1_convnext_mae_retrain.ipynb,scenario1-convnext-mae-nopretrain,2 dataset,ConvNeXt,mae,V10 (m/s),1.6174,1.2468,0.0803,0.7611,1.0916,-0.4817
sc1_convnext_mae_retrain.ipynb,scenario1-convnext-mae-nopretrain,2 dataset,ConvNeXt,mae,T2m (K),0.9553,0.7916,0.1263,0.6981,0.7312,-0.3064
sc1_convnext_mae_retrain.ipynb,scenario1-convnext-mae-nopretrain,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.009,0.0047,-0.0019,0.6208,0.006,-0.5014
sc1_dl4ds.ipynb,scenario1-dl4ds-forecast-correction,2 dataset,DL4DS,mae,,,,,,,
sc1_gan.ipynb,scenario1-gan,2 dataset,GAN,mae,U10 (m/s),1.0657,0.8101,-0.0429,0.8891,1.1679,0.0876
sc1_gan.ipynb,scenario1-gan,2 dataset,GAN,mae,V10 (m/s),1.0512,0.8005,0.0852,0.8744,1.0916,0.037
sc1_gan.ipynb,scenario1-gan,2 dataset,GAN,mae,T2m (K),0.6062,0.4795,0.0044,0.8305,0.7312,0.1711
sc1_gan.ipynb,scenario1-gan,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0008,0.8153,0.006,-0.0635
sc1_gan_dssim.ipynb,scenario1-gan,2 dataset,GAN,dssim,U10 (m/s),1.1482,0.8809,0.0205,0.8895,1.1679,0.0169
sc1_gan_dssim.ipynb,scenario1-gan,2 dataset,GAN,dssim,V10 (m/s),1.1706,0.8993,0.1232,0.8744,1.0916,-0.0724
sc1_gan_dssim.ipynb,scenario1-gan,2 dataset,GAN,dssim,T2m (K),0.6367,0.4996,0.0204,0.8291,0.7312,0.1293
sc1_gan_dssim.ipynb,scenario1-gan,2 dataset,GAN,dssim,TP 24hr (mm),0.0071,0.0039,0.0009,0.8103,0.006,-0.19
sc1_gan_mae-dssim.ipynb,scenario1-gan-mae_dssim,2 dataset,GAN,dssim+mae (alpha=0.5; beta=0.5),U10 (m/s),1.1009,0.8388,-0.0173,0.8828,1.1679,0.0574
sc1_gan_mae-dssim.ipynb,scenario1-gan-mae_dssim,2 dataset,GAN,dssim+mae (alpha=0.5; beta=0.5),V10 (m/s),1.0814,0.8257,0.0419,0.8693,1.0916,0.0094
sc1_gan_mae-dssim.ipynb,scenario1-gan-mae_dssim,2 dataset,GAN,dssim+mae (alpha=0.5; beta=0.5),T2m (K),0.6683,0.5372,-0.0287,0.8249,0.7312,0.0861
