filename,run_number,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
sc1_convnext_mae_pixel_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.3179,1.0083,-0.0837,0.8522,1.2441,-0.0593
sc1_convnext_mae_pixel_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.2686,0.9734,0.0411,0.8344,1.171,-0.0833
sc1_convnext_mae_pixel_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.7039,0.5672,-0.0127,0.7968,0.8155,0.1369
sc1_convnext_mae_pixel_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0073,0.0041,-0.0002,0.7602,0.0065,-0.1201
sc1_convnext_mae_pixel_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.3137,1.0043,-0.079,0.8528,1.2441,-0.056
sc1_convnext_mae_pixel_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.257,0.9636,0.0266,0.8375,1.171,-0.0735
sc1_convnext_mae_pixel_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.7009,0.5643,-0.0052,0.799,0.8155,0.1406
sc1_convnext_mae_pixel_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0073,0.004,-0.0001,0.7615,0.0065,-0.1177
sc1_convnext_mae_pixel_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.3046,0.997,0.0194,0.8546,1.2441,-0.0487
sc1_convnext_mae_pixel_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.2612,0.9672,-0.0105,0.8368,1.171,-0.077
sc1_convnext_mae_pixel_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.6999,0.5645,-0.0333,0.7998,0.8155,0.1417
sc1_convnext_mae_pixel_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0073,0.004,-0.0,0.7629,0.0065,-0.1168
sc1_convnext_mae_pixel_run4_executed.ipynb,4,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.3016,0.9954,0.0031,0.8547,1.2441,-0.0462
sc1_convnext_mae_pixel_run4_executed.ipynb,4,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.2582,0.965,0.036,0.8373,1.171,-0.0745
